,start_date,end_date,response_type,progress,duration_in_seconds,finished,recorded_date,recipient_Last_Name,recipient_first_Name,recipient_email,external_data_reference,location_Latitude,location_Longitude,distribution_Channel,author_gender,author_orient,author_friendly,author_audience,author_sensitive,author_ethnicity,author_assertive,author_attractive,author_education,men_are,women_are,would_you_reply,further_comments,participant_gender,participant_gender_other,participant_ethnicity,participant_ethnicity_other,participant_age,participant_orientation,participant_orientation_other,participant_grew_up,participant_residence
1,1/25/17 13:35,1/25/17 13:36,IP Address,100,63,True,1/25/17 13:36,XXXXX,XXXXX,XXXXX,XXXXX,32.91870117,-96.1140976,anonymous,male,heterosexual,Friendly,woman,Somewhat sensitive,White,Somewhat assertive,XXXXX,Somewhat educated,XXXXX,XXXXX,"No, very unlikely",XXXXX,male,XXXXX,White,XXXXX,23.0,heterosexual,XXXXX,"Dallas, Texas","Terrell, Texas"
2,1/25/17 13:35,1/25/17 13:36,IP Address,100,63,True,1/25/17 13:36,XXXXX,XXXXX,XXXXX,XXXXX,41.23049927,-73.1257019,anonymous,male,homosexual,Friendly,man,Sensitive,White,Assertive,XXXXX,Somewhat educated,XXXXX,XXXXX,Likely,XXXXX,male,XXXXX,White,XXXXX,31.0,heterosexual,XXXXX,"hamden, ct","stratford, ct"
3,1/25/17 13:35,1/25/17 13:36,IP Address,100,100,True,1/25/17 13:36,XXXXX,XXXXX,XXXXX,XXXXX,33.8710022,-84.46350098,anonymous,male,heterosexual,Friendly,woman,Sensitive,White,Assertive,XXXXX,Of average education,XXXXX,XXXXX,"No, very unlikely",XXXXX,male,XXXXX,White,XXXXX,44.0,heterosexual,XXXXX,"Maple Heights, OH","Peachtree City, GA"
4,1/25/17 13:35,1/25/17 13:37,IP Address,100,101,True,1/25/17 13:37,XXXXX,XXXXX,XXXXX,XXXXX,47.48910522,-122.290802,anonymous,female,heterosexual,Friendly,man,Somewhat sensitive,White,Somewhat assertive,XXXXX,Of average education,XXXXX,XXXXX,Somewhat likely,XXXXX,female,XXXXX,White,XXXXX,32.0,heterosexual,XXXXX,"Kasilof, AK","Puyallup, WA"
5,1/25/17 13:35,1/25/17 13:37,IP Address,100,135,True,1/25/17 13:37,XXXXX,XXXXX,XXXXX,XXXXX,40.27009583,-75.40399933,anonymous,male,heterosexual,Friendly,man,Somewhat sensitive,White,Assertive,XXXXX,Of average education,XXXXX,XXXXX,Unlikely,XXXXX,female,XXXXX,White,XXXXX,57.0,heterosexual,XXXXX,Seaford Delaware,Harleysville Pennsylvania
6,1/25/17 13:36,1/25/17 13:37,IP Address,100,87,True,1/25/17 13:37,XXXXX,XXXXX,XXXXX,XXXXX,28.21670532,-105.3167038,anonymous,female,heterosexual,Friendly,man,Sensitive,White,Somewhat assertive,XXXXX,Of average education,XXXXX,XXXXX,Likely,XXXXX,male,XXXXX,Hispanic / Latino,XXXXX,29.0,heterosexual,XXXXX,"Phoenix, Arizona","El Paso, TX"
7,1/25/17 13:36,1/25/17 13:37,IP Address,100,47,True,1/25/17 13:37,XXXXX,XXXXX,XXXXX,XXXXX,40.91299438,-73.04319763,anonymous,male,heterosexual,Somewhat friendly,woman,Somewhat sensitive,White,Assertive,XXXXX,Of average education,XXXXX,XXXXX,"No, very unlikely",XXXXX,male,XXXXX,Asian,XXXXX,23.0,heterosexual,XXXXX,ny,ny
8,1/25/17 13:35,1/25/17 13:37,IP Address,100,135,True,1/25/17 13:37,XXXXX,XXXXX,XXXXX,XXXXX,38.93479919,-77.26719666,anonymous,male,heterosexual,Somewhat friendly,woman,Somewhat sensitive,White,Somewhat timid,XXXXX,Somewhat educated,XXXXX,XXXXX,Unlikely,XXXXX,female,XXXXX,White,XXXXX,30.0,heterosexual,XXXXX,"Charleston, SC","Fredericksburg, VA"
9,1/25/17 13:35,1/25/17 13:37,IP Address,100,158,True,1/25/17 13:37,XXXXX,XXXXX,XXXXX,XXXXX,30.8717041,-83.33339691,anonymous,female,heterosexual,Very friendly,woman,Somewhat sensitive,White,Assertive,XXXXX,Very educated,XXXXX,XXXXX,Somewhat likely,XXXXX,female,XXXXX,Black / African-American,XXXXX,26.0,heterosexual,XXXXX,"Valdosta,Ga",Valdosta
10,1/25/17 13:37,1/25/17 13:41,IP Address,100,223,True,1/25/17 13:41,XXXXX,XXXXX,XXXXX,XXXXX,45.6118927,-121.5866013,anonymous,female,heterosexual,Very friendly,man,Sensitive,White,Somewhat assertive,XXXXX,Of average education,XXXXX,XXXXX,Somewhat likely,XXXXX,female,XXXXX,White,XXXXX,59.0,heterosexual,XXXXX,Beaverton Oregon,Dallas Oregon
